gene1_Label	gene1_start	gene1_end	gene1_reference	Atf1_Transcription_Factor1_Label	Atf1_Transcription_Factor167_Offset
gene-LOC409422	23921	222272	NC_037640.1	Atf1_4044	12
gene-LOC107965799	85422	172871	NC_037640.1	Atf1_4041	-59
gene-LOC107965799	85422	172871	NC_037640.1	Atf1_4042	-52
gene-LOC107965799	85422	172871	NC_037640.1	Atf1_4043	-49
gene-LOC102654728	56171	60283	NC_037640.1	Atf1_4045	6
gene-LOC724270	258069	279863	NC_037640.1	Atf1_4039	-91
gene-LOC726869	309568	312272	NC_037640.1	Atf1_4034	79
gene-LOC724483	228079	230955	NC_037640.1	Atf1_4040	-30
gene-LOC727354	326213	332656	NC_037640.1	Atf1_4033	-30
gene-LOC410161	339476	391208	NC_037640.1	Atf1_4032	37
gene-LOC412432	649020	654661	NC_037640.1	Atf1_4023	-90
gene-LOC102655950	1488550	1491637	NC_037640.1	Atf1_4009	73
gene-LOC552029	1076211	1079253	NC_037640.1	Atf1_4015	-87
gene-LOC409900	1447693	1451461	NC_037640.1	Atf1_4012	4
gene-LOC409900	1447693	1451461	NC_037640.1	Atf1_4013	-78
gene-LOC100577795	1001953	1013040	NC_037640.1	Atf1_4018	47
gene-LOC724227	1293983	1306983	NC_037640.1	Atf1_4014	73
gene-LOC409556	634322	639979	NC_037640.1	Atf1_4025	-36
gene-LOC409556	634322	639979	NC_037640.1	Atf1_4026	-6
gene-LOC552241	481422	487401	NC_037640.1	Atf1_4029	84
gene-LOC100577044	693926	695003	NC_037640.1	Atf1_4021	29
gene-LOC100577044	693926	695003	NC_037640.1	Atf1_4022	-35
gene-LOC552175	488938	494557	NC_037640.1	Atf1_4028	-82
gene-LOC551723	568119	569258	NC_037640.1	Atf1_4027	95
gene-LOC550691	1042598	1051597	NC_037640.1	Atf1_4017	-10
gene-LOC551465	1069114	1076099	NC_037640.1	Atf1_4016	63
gene-LOC100577185	812776	984387	NC_037640.1	Atf1_4020	-42
gene-LOC102655050	442321	444277	NC_037640.1	Atf1_4030	84
gene-LOC102655050	442321	444277	NC_037640.1	Atf1_4031	89
gene-LOC413416	1467273	1488220	NC_037640.1	Atf1_4010	68
gene-LOC413416	1467273	1488220	NC_037640.1	Atf1_4011	15
gene-LOC551442	639947	645242	NC_037640.1	Atf1_4024	48
gene-LOC113218630	2196973	2197612	NC_037640.1	Atf1_3994	71
gene-LOC100577743	2295656	2300537	NC_037640.1	Atf1_3993	3
gene-LOC552022	2332254	2334833	NC_037640.1	Atf1_3991	-93
gene-LOC552139	2181356	2183663	NC_037640.1	Atf1_3996	20
gene-LOC409703	1870813	1903705	NC_037640.1	Atf1_4006	81
gene-LOC409703	1870813	1903705	NC_037640.1	Atf1_4007	74
gene-LOC113218703	2345116	2345223	NC_037640.1	Atf1_3990	-68
gene-LOC409932	1959199	1966989	NC_037640.1	Atf1_4000	-54
gene-LOC409888	2312577	2327894	NC_037640.1	Atf1_3992	-38
gene-LOC413390	2358500	2361374	NC_037640.1	Atf1_3988	-53
gene-LOC413390	2358500	2361374	NC_037640.1	Atf1_3989	5
gene-LOC413489	1977181	1981612	NC_037640.1	Atf1_3998	-70
gene-LOC102653952	2175385	2176345	NC_037640.1	Atf1_3997	58
gene-LOC727546	1547768	1548693	NC_037640.1	Atf1_4008	22
gene-LOC413484	1955195	1958206	NC_037640.1	Atf1_4001	19
gene-LOC113218649	2382738	2384450	NC_037640.1	Atf1_3987	-73
gene-LOC724985	1970221	1971636	NC_037640.1	Atf1_3999	80
gene-LOC725740	1949134	1951308	NC_037640.1	Atf1_4002	17
gene-LOC725740	1949134	1951308	NC_037640.1	Atf1_4003	67
gene-LOC724301	1920831	1924554	NC_037640.1	Atf1_4005	-1
gene-LOC100577228	2185903	2193770	NC_037640.1	Atf1_3995	87
gene-LOC412195	1935619	1945038	NC_037640.1	Atf1_4004	27
gene-LOC551850	2607887	2645475	NC_037640.1	Atf1_3985	-57
gene-LOC411404	3231800	3234548	NC_037640.1	Atf1_3960	-47
gene-LOC100578226	2858934	2864968	NC_037640.1	Atf1_3977	-30
gene-LOC551057	2806702	2808869	NC_037640.1	Atf1_3980	-16
gene-LOC551057	2806702	2808869	NC_037640.1	Atf1_3981	-49
gene-LOC107964225	3034899	3035327	NC_037640.1	Atf1_3972	-71
gene-LOC408762	3039117	3043640	NC_037640.1	Atf1_3971	71
gene-LOC113218625	2645529	2683279	NC_037640.1	Atf1_3984	-15
gene-LOC413448	3179661	3184282	NC_037640.1	Atf1_3968	-49
gene-LOC113218660	2694008	2706790	NC_037640.1	Atf1_3983	-8
gene-LOC408763	2539350	2603911	NC_037640.1	Atf1_3986	82
gene-LOC100578283	2821560	2822924	NC_037640.1	Atf1_3979	5
gene-LOC408759	3058513	3115462	NC_037640.1	Atf1_3969	7
gene-LOC102653875	2860471	2863433	NC_037640.1	Atf1_3976	31
gene-LOC410076	3237387	3240227	NC_037640.1	Atf1_3957	-98
gene-LOC410076	3237387	3240227	NC_037640.1	Atf1_3958	61
gene-LOC410076	3237387	3240227	NC_037640.1	Atf1_3959	27
gene-LOC102653928	2868567	2869990	NC_037640.1	Atf1_3975	-47
gene-LOC410973	2879811	2881648	NC_037640.1	Atf1_3973	-53
gene-LOC410973	2879811	2881648	NC_037640.1	Atf1_3974	-41
gene-LOC413810	3241201	3243508	NC_037640.1	Atf1_3956	-83
gene-LOC410975	2739728	2789470	NC_037640.1	Atf1_3982	-86
gene-LOC410970	3044238	3053582	NC_037640.1	Atf1_3970	1
gene-LOC552493	3187435	3188616	NC_037640.1	Atf1_3966	-62
gene-LOC552493	3187435	3188616	NC_037640.1	Atf1_3967	84
gene-LOC411403	3223003	3224295	NC_037640.1	Atf1_3962	-35
gene-LOC411403	3223003	3224295	NC_037640.1	Atf1_3963	65
gene-LOC551655	3224915	3227176	NC_037640.1	Atf1_3961	44
gene-LOC107964187	2831909	2834339	NC_037640.1	Atf1_3978	-89
gene-LOC725590	3874731	3908709	NC_037640.1	Atf1_3938	26
gene-LOC102653804	3553418	3554570	NC_037640.1	Atf1_3942	80
gene-LOC551083	3494019	3495743	NC_037640.1	Atf1_3944	39
gene-LOC724809	3315688	3318394	NC_037640.1	Atf1_3951	8
gene-LOC411492	3752881	3757811	NC_037640.1	Atf1_3941	22
gene-LOC410964	4005654	4006754	NC_037640.1	Atf1_3936	23
gene-LOC410964	4005654	4006754	NC_037640.1	Atf1_3937	35
gene-LOC102654823	3273715	3277445	NC_037640.1	Atf1_3954	15
gene-LOC102654823	3273715	3277445	NC_037640.1	Atf1_3955	51
gene-LOC551430	3299019	3305274	NC_037640.1	Atf1_3952	78
gene-LOC551430	3299019	3305274	NC_037640.1	Atf1_3953	88
gene-LOC410969	3482036	3488696	NC_037640.1	Atf1_3945	76
gene-LOC551291	3318320	3326801	NC_037640.1	Atf1_3950	-80
gene-LOC725432	3767977	3769104	NC_037640.1	Atf1_3939	-77
gene-LOC551217	3479882	3487468	NC_037640.1	Atf1_3946	-27
gene-LOC100576467	3496058	3552405	NC_037640.1	Atf1_3943	-36
gene-LOC551948	3757825	3763333	NC_037640.1	Atf1_3940	-10
gene-LOC102655496	4436819	4443669	NC_037640.1	Atf1_3917	65
gene-LOC726129	4392006	4393938	NC_037640.1	Atf1_3922	-55
gene-LOC409498	4307931	4312959	NC_037640.1	Atf1_3934	49
gene-LOC409498	4307931	4312959	NC_037640.1	Atf1_3935	52
gene-LOC113218624	4378730	4381160	NC_037640.1	Atf1_3924	46
gene-LOC113218624	4378730	4381160	NC_037640.1	Atf1_3925	51
gene-LOC411411	4374394	4375666	NC_037640.1	Atf1_3927	-58
gene-LOC107964212	4350463	4356588	NC_037640.1	Atf1_3929	-89
gene-LOC107964212	4350463	4356588	NC_037640.1	Atf1_3930	-84
gene-LOC413498	4321479	4325859	NC_037640.1	Atf1_3931	-65
gene-LOC413498	4321479	4325859	NC_037640.1	Atf1_3932	-7
gene-LOC726232	4372855	4374086	NC_037640.1	Atf1_3928	11
gene-LOC552613	4474097	4477111	NC_037640.1	Atf1_3913	10
gene-LOC409443	4418153	4424617	NC_037640.1	Atf1_3919	-29
gene-LOC726071	4410232	4412424	NC_037640.1	Atf1_3920	-63
gene-LOC409130	4386134	4392013	NC_037640.1	Atf1_3923	-8
gene-LOC411412	4376203	4383008	NC_037640.1	Atf1_3926	-88
gene-LOC724128	4458191	4459308	NC_037640.1	Atf1_3914	52
gene-LOC724128	4458191	4459308	NC_037640.1	Atf1_3915	-57
gene-LOC724128	4458191	4459308	NC_037640.1	Atf1_3916	-78
gene-LOC413376	4315590	4321488	NC_037640.1	Atf1_3933	27
gene-LOC724778	4653536	4661894	NC_037640.1	Atf1_3904	-13
gene-LOC413858	4566239	4581521	NC_037640.1	Atf1_3907	25
gene-LOC724947	4695067	4697276	NC_037640.1	Atf1_3902	-23
gene-LOC724947	4695067	4697276	NC_037640.1	Atf1_3903	87
gene-LOC102653989	4572845	4574847	NC_037640.1	Atf1_3908	-59
gene-LOC412851	4595595	4598200	NC_037640.1	Atf1_3905	67
gene-LOC552489	4520662	4530556	NC_037640.1	Atf1_3911	19
gene-LOC552076	4585133	4587496	NC_037640.1	Atf1_3906	-3
gene-LOC412419	4532173	4537901	NC_037640.1	Atf1_3910	71
gene-LOC410091	4538486	4546694	NC_037640.1	Atf1_3909	4
gene-LOC552563	4495567	4497747	NC_037640.1	Atf1_3912	62
gene-LOC412846	4701409	4705235	NC_037640.1	Atf1_3900	-16
gene-LOC412846	4701409	4705235	NC_037640.1	Atf1_3901	81
gene-LOC551607	4943426	4944281	NC_037640.1	Atf1_3896	-59
gene-LOC408750	5284748	5287139	NC_037640.1	Atf1_3890	34
gene-LOC411420	4908623	4913624	NC_037640.1	Atf1_3899	65
gene-LOC410958	5372135	5376972	NC_037640.1	Atf1_3886	-29
gene-LOC410956	5094732	5276343	NC_037640.1	Atf1_3891	-39
gene-LOC725830	5364686	5366234	NC_037640.1	Atf1_3887	78
gene-LOC410114	4923434	4938899	NC_037640.1	Atf1_3897	15
gene-LOC551484	4919231	4923333	NC_037640.1	Atf1_3898	9
gene-LOC408751	5290197	5292040	NC_037640.1	Atf1_3888	15
gene-LOC408751	5290197	5292040	NC_037640.1	Atf1_3889	8
gene-LOC727159	4944884	4964114	NC_037640.1	Atf1_3895	39
gene-LOC410960	5391190	5413940	NC_037640.1	Atf1_3884	18
gene-LOC102655809	5388151	5391192	NC_037640.1	Atf1_3885	-18
gene-LOC102653931	5076160	5090984	NC_037640.1	Atf1_3892	-54
gene-LOC413194	4964886	4969488	NC_037640.1	Atf1_3893	54
gene-LOC413194	4964886	4969488	NC_037640.1	Atf1_3894	71
gene-LOC726033	5468181	5469220	NC_037640.1	Atf1_3882	82
gene-LOC113218623	5414038	5415360	NC_037640.1	Atf1_3883	79
gene-LOC100577047	5689368	5700450	NC_037640.1	Atf1_3881	-60
gene-LOC726282	5695231	5697095	NC_037640.1	Atf1_3880	77
gene-LOC107964222	6085030	6085858	NC_037640.1	Atf1_3877	98
gene-LOC113218673	6120538	6123453	NC_037640.1	Atf1_3874	-76
gene-LOC113218554	6055964	6060014	NC_037640.1	Atf1_3879	-28
gene-LOC410950	6081008	6087291	NC_037640.1	Atf1_3878	98
gene-LOC100578296	6109166	6113421	NC_037640.1	Atf1_3875	55
gene-LOC100578296	6109166	6113421	NC_037640.1	Atf1_3876	58
gene-LOC411493	7126264	7127129	NC_037640.1	Atf1_3861	5
gene-LOC411493	7126264	7127129	NC_037640.1	Atf1_3862	-79
